Timestamp,ChapterNumber,ChapterURL,Status,SummaryStatus,TranslationStatus,OutputFilePath,ErrorMessage
2025-07-02 05:24:28,1,https://novelbuddy.com/novel/myst-might-mayhem/chapter-1,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-1.md",
2025-07-02 05:24:57,2,https://novelbuddy.com/novel/myst-might-mayhem/chapter-2,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-2.md",
2025-07-02 05:25:32,3,https://novelbuddy.com/novel/myst-might-mayhem/chapter-3,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-3.md",
2025-07-02 05:26:13,4,https://novelbuddy.com/novel/myst-might-mayhem/chapter-4,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-4.md",
2025-07-02 05:26:42,5,https://novelbuddy.com/novel/myst-might-mayhem/chapter-5,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-5.md",
2025-07-02 05:27:17,6,https://novelbuddy.com/novel/myst-might-mayhem/chapter-6,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-6.md",
2025-07-02 05:27:56,7,https://novelbuddy.com/novel/myst-might-mayhem/chapter-7,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-7.md",
2025-07-02 05:28:22,8,https://novelbuddy.com/novel/myst-might-mayhem/chapter-8,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-8.md",
2025-07-02 05:28:54,9,https://novelbuddy.com/novel/myst-might-mayhem/chapter-9,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-9.md",
2025-07-02 05:29:36,10,https://novelbuddy.com/novel/myst-might-mayhem/chapter-10,SUCCESS,SUCCESS,SUCCESS,"E:/crawl_truyen/tom tat/v3/truyen/Myst, Might, Mayhem\chapter-10.md",
